Atlanta Hawks,103.0,.138,.749,.216,.291,.155,.097,.059,.398,.258,.658,.414,.394,.376,.333,.779,.056
Boston Celtics,99.5,.122,.774,.239,.276,.173,.094,.071,.368,.259,.662,.387,.437,.416,.364,.742,.063
Brooklyn Nets,101.4,.131,.778,.232,.315,.150,.070,.042,.423,.267,.651,.358,.381,.413,.343,.804,.048
Charlotte Hornets,95.8,.133,.744,.239,.340,.152,.057,.055,.396,.252,.627,.362,.375,.354,.348,.791,.047
Chicago Bulls,99.7,.137,.756,.228,.303,.192,.062,.044,.399,.231,.627,.357,.321,.352,.352,.791,.049
Cleveland Cavaliers,98.7,.146,.774,.246,.297,.183,.101,.057,.362,.227,.640,.407,.443,.384,.351,.729,.036
Dallas Mavericks,99.3,.112,.777,.232,.245,.162,.082,.053,.457,.264,.696,.407,.413,.429,.367,.834,.052
Denver Nuggets,97.1,.123,.768,.246,.278,.180,.105,.092,.344,.235,.687,.402,.417,.456,.359,.788,.052
Detroit Pistons,97.6,.138,.759,.232,.282,.214,.072,.050,.381,.261,.660,.400,.369,.401,.367,.763,.052
Golden State Warriors,100.3,.132,.764,.248,.244,.166,.108,.128,.355,.264,.666,.382,.416,.384,.334,.801,.052
Houston Rockets,103.7,.126,.756,.226,.297,.126,.040,.036,.501,.288,.672,.379,.403,.402,.345,.783,.054
Indiana Pacers,98.9,.120,.767,.215,.298,.151,.119,.116,.317,.216,.651,.428,.456,.420,.363,.777,.059
Los Angeles Clippers,101.5,.126,.776,.210,.272,.167,.104,.081,.375,.295,.669,.408,.419,.400,.371,.796,.051
Los Angeles Lakers,100.9,.133,.788,.200,.315,.147,.084,.097,.358,.276,.723,.401,.401,.355,.349,.810,.073
Memphis Grizzlies,102.8,.132,.778,.235,.281,.210,.103,.060,.346,.240,.667,.443,.427,.397,.347,.755,.061
Miami Heat,98.3,.135,.795,.245,.255,.159,.090,.077,.419,.299,.693,.418,.398,.386,.379,.729,.051
Milwaukee Bucks,105.1,.129,.816,.230,.284,.141,.082,.064,.428,.271,.717,.374,.458,.467,.355,.745,.061
Minnesota Timberwolves,103.4,.130,.772,.203,.308,.164,.055,.040,.433,.277,.640,.384,.373,.372,.336,.779,.063
New Orleans Pelicans,103.7,.139,.778,.207,.309,.144,.079,.065,.403,.256,.666,.376,.394,.378,.370,.787,.054
New York Knicks,98.6,.126,.783,.221,.313,.159,.091,.119,.318,.263,.640,.364,.401,.382,.337,.796,.055
Oklahoma City Thunder,98.8,.124,.768,.242,.260,.173,.128,.087,.353,.290,.680,.386,.455,.474,.355,.770,.054
Orlando Magic,98.6,.115,.791,.258,.252,.169,.121,.095,.364,.256,.664,.406,.392,.381,.343,.774,.061
Philadelphia 76ers,99.0,.127,.803,.193,.266,.173,.114,.087,.360,.255,.688,.410,.408,.399,.368,.790,.061
Phoenix Suns,101.3,.130,.788,.222,.296,.146,.116,.081,.361,.271,.659,.404,.444,.405,.358,.753,.045
Portland Trail Blazers,100.7,.112,.753,.224,.272,.139,.117,.097,.374,.242,.634,.399,.428,.446,.377,.743,.065
Sacramento Kings,98.9,.130,.784,.219,.253,.187,.090,.075,.395,.230,.689,.400,.416,.426,.364,.694,.048
San Antonio Spurs,100.5,.112,.792,.201,.233,.158,.144,.147,.318,.262,.666,.435,.458,.422,.376,.758,.061
Toronto Raptors,100.9,.131,.767,.213,.311,.155,.056,.058,.421,.264,.645,.381,.367,.351,.374,.775,.057
Utah Jazz,98.6,.137,.789,.216,.256,.196,.087,.048,.414,.268,.692,.407,.420,.428,.380,.803,.045
Washington Wizards,102.7,.122,.753,.222,.259,.160,.111,.112,.358,.270,.688,.363,.410,.387,.368,.748,.049
